Year,param,value
1994-1995,binned_phi_t[1],"0.014 (0.006, 0.160)"
1996-1997,binned_phi_t[2],"0.033 (0.014, 0.115)"
1998-1999,binned_phi_t[3],"0.038 (0.019, 0.126)"
2000-2001,binned_phi_t[4],"0.066 (0.041, 0.118)"
2002-2003,binned_phi_t[5],"0.157 (0.046, 0.658)"
2004-2005,binned_phi_t[6],"0.027 (0.017, 0.062)"
2006-2007,binned_phi_t[7],"0.146 (0.047, 0.633)"
2008-2009,binned_phi_t[8],"0.083 (0.043, 0.310)"
2010-2011,binned_phi_t[9],"0.068 (0.041, 0.151)"
2012-2013,binned_phi_t[10],"0.142 (0.067, 0.511)"
2014-2015,binned_phi_t[11],"0.121 (0.051, 0.542)"
2016-2017,binned_phi_t[12],"0.129 (0.034, 0.698)"
2018-Inf,binned_phi_t[13],"0.022 (0.012, 0.048)"
