Age,Kappa
0,1
1,1
2,1
3,1.0020930738245066
4,1.0020930738245066
5,1.0020930738245066
6,1.2151842017615233
7,1.2151842017615233
8,1.2151842017615233
9,1.2377381655180435
10,1.2377381655180435
11,1.2377381655180435
12,1.3827585126745483
13,1.3827585126745483
14,1.3827585126745483
15,1.1913100833699173
16,1.1913100833699173
17,1.1913100833699173
18,0.9879601309000744
19,0.9879601309000744
20,0.9879601309000744
21,0.8683407166190457
22,0.8683407166190457
23,0.8683407166190457
24,0.8276419633836967
25,0.8276419633836967
26,0.8276419633836967
27,0.8531869406312438
28,0.8531869406312438
29,0.8531869406312438
30,0.8044021689443703
31,0.8044021689443703
32,0.8044021689443703
33,0.8044021689443703
34,0.8044021689443703
35,0.8044021689443703
36,0.8044021689443703
37,0.8044021689443703
38,0.8044021689443703
39,0.8044021689443703
40,0.8023356669479156
41,0.8023356669479156
42,0.8023356669479156
43,0.8023356669479156
44,0.8023356669479156
45,0.8023356669479156
46,0.8023356669479156
47,0.8023356669479156
48,0.8023356669479156
49,0.8023356669479156
50,0.940807890405541
51,0.940807890405541
52,0.940807890405541
53,0.940807890405541
54,0.940807890405541
55,0.940807890405541
56,0.940807890405541
57,0.940807890405541
58,0.940807890405541
59,0.940807890405541
60,1.107387819719039
61,1.107387819719039
62,1.107387819719039
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
